Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
200401,30.34,0.22
200402,33.57,-0.25
200403,47.41,5.91
200404,52.68,1.63
200405,61.92,1.72
200406,68.09,-0.40
200407,72.90,-0.71
200408,70.16,-1.94
200409,65.66,0.80
200410,55.36,1.25
200411,43.99,2.30
200412,35.06,2.38
200501,33.39,3.27
200502,37.94,4.12
200503,42.31,0.81
200504,52.27,1.22
200505,59.56,-0.64
200506,69.21,0.72
200507,75.31,1.70
200508,73.20,1.10
200509,67.37,2.51
200510,55.38,1.27
200511,45.01,3.32
200512,32.70,0.02
200601,38.93,8.81
200602,34.83,1.01
200603,42.62,1.12
200604,55.26,4.21
200605,62.28,2.08
200606,70.75,2.26
200607,76.41,2.80
200608,73.40,1.30
200609,63.30,-1.56
200610,52.59,-1.52
200611,44.08,2.39
200612,36.57,3.89
200701,31.35,1.23
200702,32.41,-1.41
200703,47.66,6.16
200704,50.54,-0.51
200705,62.33,2.13
200706,69.87,1.38
200707,74.70,1.09
200708,74.64,2.54
200709,66.43,1.57
200710,56.68,2.57
200711,44.01,2.32
200712,33.22,0.54
200801,30.27,0.15
200802,34.70,0.88
200803,41.86,0.36
200804,50.40,-0.65
200805,59.36,-0.84
200806,69.60,1.11
200807,74.08,0.47
200808,72.28,0.18
200809,65.21,0.35
200810,53.98,-0.13
200811,43.92,2.23
200812,31.87,-0.81
200901,31.05,0.93
200902,36.77,2.95
200903,42.87,1.37
200904,50.92,-0.13
200905,61.65,1.45
200906,68.54,0.05
200907,72.63,-0.98
200908,71.89,-0.21
200909,66.38,1.52
200910,50.50,-3.61
200911,45.84,4.15
200912,29.64,-3.04
201001,30.67,0.55
201002,31.80,-2.02
201003,43.57,2.07
201004,53.24,2.19
201005,59.88,-0.32
201006,70.48,1.99
201007,74.71,1.10
201008,74.05,1.95
201009,66.49,1.63
201010,56.14,2.03
201011,42.31,0.62
201012,32.47,-0.21
201101,29.71,-0.41
201102,33.04,-0.78
201103,43.07,1.57
201104,51.96,0.91
201105,59.13,-1.07
201106,69.82,1.33
201107,76.14,2.53
201108,75.00,2.90
201109,66.09,1.23
201110,55.09,0.98
201111,43.75,2.06
201112,35.40,2.72
201201,36.12,6.00
201202,37.51,3.69
201203,50.41,8.91
201204,54.68,3.63
201205,63.45,3.25
201206,70.54,2.05
201207,76.77,3.16
201208,73.80,1.70
201209,66.31,1.45
201210,53.89,-0.22
201211,44.01,2.32
201212,35.92,3.24
201301,32.25,2.13
201302,34.77,0.95
201303,40.91,-0.59
201304,49.68,-1.37
201305,60.85,0.65
201306,70.39,1.90
201307,74.21,0.60
201308,72.99,0.89
201309,66.96,2.10
201310,53.44,-0.67
201311,41.61,-0.08
201312,31.06,-1.62
201401,30.56,0.44
201402,32.13,-1.69
201403,40.51,-0.99
201404,51.69,0.64
201405,61.27,1.07
201406,69.58,1.09
201407,73.29,-0.32
201408,72.25,0.15
201409,66.20,1.34
201410,56.93,2.82
201411,39.25,-2.44
201412,36.81,4.13
201501,33.08,2.96
201502,32.99,-0.83
201503,45.39,3.89
201504,53.24,2.19
201505,60.84,0.64
201506,71.37,2.88
201507,73.92,0.31
201508,72.95,0.85
201509,68.54,3.68
201510,57.24,3.13
201511,44.60,2.91
201512,38.66,5.98
201601,32.22,2.10
201602,39.47,5.65
201603,47.50,6.00
201604,53.19,2.14
201605,60.33,0.13
201606,71.76,3.27
201607,75.22,1.61
201608,73.53,1.43
201609,67.12,2.26
201610,57.72,3.61
201611,47.97,6.28
201612,32.95,0.27
201701,33.57,3.45
201702,41.18,7.36
201703,46.13,4.63
201704,53.78,2.73
201705,60.57,0.37
201706,70.34,1.85
201707,75.69,2.08
201708,72.00,-0.10
201709,66.27,1.41
201710,55.69,1.58
201711,45.03,3.34
201712,34.32,1.64
201801,32.20,2.08
